Programme,year,score
UIB Sammenliknende politikk,2009,44.3
UIB Sammenliknende politikk,2010,44.7
UIB Sammenliknende politikk,2011,43.8
UIB Sammenliknende politikk,2012,44.3
UIB Sammenliknende politikk,2013,42.8
UIB Sammenliknende politikk,2014,42.2
UIB Sammenliknende politikk,2015,40.4
UIB Sosialantropologi,2009,40.4
UIB Sosialantropologi,2010,42.0
UIB Sosialantropologi,2011,39.2
UIB Sosialantropologi,2012,36.9
UIB Sosialantropologi,2013,35.2
UIB Sosialantropologi,2014,33.5
UIB Sosialantropologi,2015,32.9
UIB Sammenliknende politikk: årsstudium,2009,41.3
UIB Sammenliknende politikk: årsstudium,2010,45.0
UIB Sammenliknende politikk: årsstudium,2011,45.0
UIB Sammenliknende politikk: årsstudium,2012,43.1
UIB Sammenliknende politikk: årsstudium,2013,44.7
UIB Sammenliknende politikk: årsstudium,2014,42.1
UIB Sammenliknende politikk: årsstudium,2015,45.2
UIB Samfunnsøkonomi: årsstudium,2009,46.1
UIB Samfunnsøkonomi: årsstudium,2010,48.5
UIB Samfunnsøkonomi: årsstudium,2011,47.7
UIB Samfunnsøkonomi: årsstudium,2012,48.8
UIB Samfunnsøkonomi: årsstudium,2013,49.8
UIB Samfunnsøkonomi: årsstudium,2014,46.8
UIB Samfunnsøkonomi: årsstudium,2015,47.5
UIB Sosialantropologi: årsstudium,2009,40.3
UIB Sosialantropologi: årsstudium,2010,43.2
UIB Sosialantropologi: årsstudium,2011,44.2
UIB Sosialantropologi: årsstudium,2012,42.1
UIB Sosialantropologi: årsstudium,2013,42.7
UIB Sosialantropologi: årsstudium,2014,41.7
UIB Sosialantropologi: årsstudium,2015,39.6
UIB Samfunnsøkonomi: bachelor,2009,44.4
UIB Samfunnsøkonomi: bachelor,2010,45.2
UIB Samfunnsøkonomi: bachelor,2011,45.6
UIB Samfunnsøkonomi: bachelor,2012,46.3
UIB Samfunnsøkonomi: bachelor,2013,46.2
UIB Samfunnsøkonomi: bachelor,2014,44.1
UIB Samfunnsøkonomi: bachelor,2015,43.0
UIO Utviklingsstudier,2009,26.9
UIO Utviklingsstudier,2010,47.8
UIO Utviklingsstudier,2011,47.4
UIO Utviklingsstudier,2012,45.7
UIO Utviklingsstudier,2013,44.8
UIO Utviklingsstudier,2014,44.6
UIO Utviklingsstudier,2015,44.1
UIO Kultur og kommunikasjon,2009,37.7
UIO Kultur og kommunikasjon,2010,48.4
UIO Kultur og kommunikasjon,2011,48.6
UIO Kultur og kommunikasjon,2012,48.8
UIO Kultur og kommunikasjon,2013,47.6
UIO Kultur og kommunikasjon,2014,45.7
UIO Kultur og kommunikasjon,2015,46.8
UIO Kunsthistorie: årsstudium,2009,14.6
UIO Kunsthistorie: årsstudium,2010,46.9
UIO Kunsthistorie: årsstudium,2011,46.8
UIO Kunsthistorie: årsstudium,2012,46.3
UIO Kunsthistorie: årsstudium,2013,44.3
UIO Kunsthistorie: årsstudium,2014,38.1
UIO Kunsthistorie: årsstudium,2015,44.2
UIO Rettsvitenskap (jus): start høst,2009,21.2
UIO Rettsvitenskap (jus): start høst,2010,52.0
UIO Rettsvitenskap (jus): start høst,2011,51.5
UIO Rettsvitenskap (jus): start høst,2012,52.3
UIO Rettsvitenskap (jus): start høst,2013,52.7
UIO Rettsvitenskap (jus): start høst,2014,52.6
UIO Rettsvitenskap (jus): start høst,2015,53.8
UIO Historie,2009,13.8
UIO Historie,2010,38.2
UIO Historie,2011,36.2
UIO Historie,2012,32.9
UIO Historie,2013,29.6
UIO Historie,2014,29.6
UIO Historie,2015,31.7
UIO Medievitenskap,2009,23.9
UIO Medievitenskap,2010,44.6
UIO Medievitenskap,2011,44.3
UIO Medievitenskap,2012,44.7
UIO Medievitenskap,2013,42.3
UIO Medievitenskap,2014,40.8
UIO Medievitenskap,2015,41.7
UIO Rettsvitenskap (jus): start vår,2009,18.8
UIO Rettsvitenskap (jus): start vår,2010,49.6
UIO Rettsvitenskap (jus): start vår,2011,49.3
UIO Rettsvitenskap (jus): start vår,2012,49.6
UIO Rettsvitenskap (jus): start vår,2013,50.0
UIO Rettsvitenskap (jus): start vår,2014,50.3
UIO Rettsvitenskap (jus): start vår,2015,51.2
UIO Pedagogikk,2009,20.3
UIO Pedagogikk,2010,35.8
UIO Pedagogikk,2011,36.2
UIO Pedagogikk,2012,34.7
UIO Pedagogikk,2013,33.5
UIO Pedagogikk,2014,35.6
UIO Pedagogikk,2015,35.3
UIO Samfunnsgeografi,2009,19.5
UIO Samfunnsgeografi,2010,42.1
UIO Samfunnsgeografi,2011,41.8
UIO Samfunnsgeografi,2012,41.1
UIO Samfunnsgeografi,2013,40.8
UIO Samfunnsgeografi,2014,38.1
UIO Samfunnsgeografi,2015,39.3
UIO Spesialpedagogikk,2009,1lle
UIO Spesialpedagogikk,2010,33.7
UIO Spesialpedagogikk,2011,36.3
UIO Spesialpedagogikk,2012,34.1
UIO Spesialpedagogikk,2013,34.1
UIO Spesialpedagogikk,2014,35.5
UIO Spesialpedagogikk,2015,36.2
UIO Offentlig administrasjon og ledelse,2009,43.4
UIO Offentlig administrasjon og ledelse,2010,45.0
UIO Offentlig administrasjon og ledelse,2011,46.4
UIO Offentlig administrasjon og ledelse,2012,46.2
UIO Offentlig administrasjon og ledelse,2013,44.5
UIO Offentlig administrasjon og ledelse,2014,44.8
UIO Offentlig administrasjon og ledelse,2015,44.8
UIO Odontologi,2009,36.8
UIO Odontologi,2010,56.0
UIO Odontologi,2011,54.4
UIO Odontologi,2012,54.3
UIO Odontologi,2013,54.4
UIO Odontologi,2014,55.2
UIO Odontologi,2015,55.7
UIO Samfunnsøkonomisk analyse,2009,10.1
UIO Samfunnsøkonomisk analyse,2010,48.7
UIO Samfunnsøkonomisk analyse,2011,49.2
UIO Samfunnsøkonomisk analyse,2012,45.7
UIO Samfunnsøkonomisk analyse,2013,44.3
UIO Samfunnsøkonomisk analyse,2014,44.0
UIO Samfunnsøkonomisk analyse,2015,44.3
UIO Internasjonale studier,2009,54.5
UIO Internasjonale studier,2010,54.0
UIO Internasjonale studier,2011,54.4
UIO Internasjonale studier,2012,53.8
UIO Internasjonale studier,2013,52.1
UIO Internasjonale studier,2014,52.4
UIO Internasjonale studier,2015,51.7
UIO Kriminologi,2009,86.7
UIO Kriminologi,2010,46.6
UIO Kriminologi,2011,47.5
UIO Kriminologi,2012,46.7
UIO Kriminologi,2013,47.7
UIO Kriminologi,2014,46.4
UIO Kriminologi,2015,47.6
UIO Psykologi,2009,86.4
UIO Psykologi,2010,47.0
UIO Psykologi,2011,47.5
UIO Psykologi,2012,47.3
UIO Psykologi,2013,47.2
UIO Psykologi,2014,47.2
UIO Psykologi,2015,47.6
UIO Demokrati og rettigheter i informasjonssamfunnet,2009,88.8
UIO Demokrati og rettigheter i informasjonssamfunnet,2010,42.3
UIO Demokrati og rettigheter i informasjonssamfunnet,2011,41.8
UIO Demokrati og rettigheter i informasjonssamfunnet,2012,41.8
UIO Demokrati og rettigheter i informasjonssamfunnet,2013,41.6
UIO Demokrati og rettigheter i informasjonssamfunnet,2014,41.5
UIO Demokrati og rettigheter i informasjonssamfunnet,2015,42.1
UIO Sosialantropologi,2009,29.6
UIO Sosialantropologi,2010,43.9
UIO Sosialantropologi,2011,42.5
UIO Sosialantropologi,2012,41.3
UIO Sosialantropologi,2013,38.9
UIO Sosialantropologi,2014,37.7
UIO Sosialantropologi,2015,39.2
UIO Lektorprogrammet: kultur og samfunnsfag,2009,24.1
UIO Lektorprogrammet: kultur og samfunnsfag,2010,46.0
UIO Lektorprogrammet: kultur og samfunnsfag,2011,45.8
UIO Lektorprogrammet: kultur og samfunnsfag,2012,45.2
UIO Lektorprogrammet: kultur og samfunnsfag,2013,46.2
UIO Lektorprogrammet: kultur og samfunnsfag,2014,47.2
UIO Lektorprogrammet: kultur og samfunnsfag,2015,47.7
UIO Psykologi profesjon: start høst,2009,16.4
UIO Psykologi profesjon: start høst,2010,56.4
UIO Psykologi profesjon: start høst,2011,56.1
UIO Psykologi profesjon: start høst,2012,55.6
UIO Psykologi profesjon: start høst,2013,56.4
UIO Psykologi profesjon: start høst,2014,55.8
UIO Psykologi profesjon: start høst,2015,56.8
UIO Psykologi profesjon: start vår,2009,74.6
UIO Psykologi profesjon: start vår,2010,55.1
UIO Psykologi profesjon: start vår,2011,55.3
UIO Psykologi profesjon: start vår,2012,53.8
UIO Psykologi profesjon: start vår,2013,54.4
UIO Psykologi profesjon: start vår,2014,54.5
UIO Psykologi profesjon: start vår,2015,55.2
UIO Samfunnsøkonomi,2009,45.1
UIO Samfunnsøkonomi,2010,46.9
UIO Samfunnsøkonomi,2011,46.8
UIO Samfunnsøkonomi,2012,46.5
UIO Samfunnsøkonomi,2013,47.1
UIO Samfunnsøkonomi,2014,46.0
UIO Samfunnsøkonomi,2015,47.7
UIO Tannpleie,2009,14.7
UIO Tannpleie,2010,42.6
UIO Tannpleie,2011,42.7
UIO Tannpleie,2012,43.7
UIO Tannpleie,2013,44.8
UIO Tannpleie,2014,43.6
UIO Tannpleie,2015,44.3
UIO Engelsk: årsstudium,2009,38.5
UIO Engelsk: årsstudium,2010,49.0
UIO Engelsk: årsstudium,2011,47.9
UIO Engelsk: årsstudium,2012,47.7
UIO Engelsk: årsstudium,2013,45.4
UIO Engelsk: årsstudium,2014,41.0
UIO Engelsk: årsstudium,2015,41.5
UIO Informatikk: design: bruk og interaksjon,2009,74.3
UIO Informatikk: design: bruk og interaksjon,2010,38.2
UIO Informatikk: design: bruk og interaksjon,2011,37.6
UIO Informatikk: design: bruk og interaksjon,2012,38.3
UIO Informatikk: design: bruk og interaksjon,2013,37.5
UIO Informatikk: design: bruk og interaksjon,2014,38.0
UIO Informatikk: design: bruk og interaksjon,2015,40.4
UIO Psykologi: årsstudium,2009,90.5
UIO Psykologi: årsstudium,2010,50.7
UIO Psykologi: årsstudium,2011,50.7
UIO Psykologi: årsstudium,2012,50.0
UIO Psykologi: årsstudium,2013,49.7
UIO Psykologi: årsstudium,2014,49.2
UIO Psykologi: årsstudium,2015,50.0
UIO Farmasi,2009,59.1
UIO Farmasi,2010,47.3
UIO Farmasi,2011,46.9
UIO Farmasi,2012,47.2
UIO Farmasi,2013,47.3
UIO Farmasi,2014,48.2
UIO Farmasi,2015,51.0
UIO Helseledelse og helseøkonomi,2009,18.0
UIO Helseledelse og helseøkonomi,2010,40.0
UIO Helseledelse og helseøkonomi,2011,38.5
UIO Helseledelse og helseøkonomi,2012,38.3
UIO Helseledelse og helseøkonomi,2013,38.8
UIO Helseledelse og helseøkonomi,2014,37.8
UIO Helseledelse og helseøkonomi,2015,39.8
UIO Sosiologi,2009,41.2
UIO Sosiologi,2010,44.0
UIO Sosiologi,2011,43.7
UIO Sosiologi,2012,43.0
UIO Sosiologi,2013,42.1
UIO Sosiologi,2014,42.4
UIO Sosiologi,2015,43.3
UIO Tverrfaglige kjønnsstudier: årsstudium,2009,50.0
UIO Tverrfaglige kjønnsstudier: årsstudium,2010,41.9
UIO Tverrfaglige kjønnsstudier: årsstudium,2011,42.6
UIO Tverrfaglige kjønnsstudier: årsstudium,2012,41.1
UIO Tverrfaglige kjønnsstudier: årsstudium,2013,43.4
UIO Tverrfaglige kjønnsstudier: årsstudium,2014,35.8
UIO Tverrfaglige kjønnsstudier: årsstudium,2015,43.5
UIO Statsvitenskap,2009,55.8
UIO Statsvitenskap,2010,47.4
UIO Statsvitenskap,2011,47.6
UIO Statsvitenskap,2012,47.4
UIO Statsvitenskap,2013,46.7
UIO Statsvitenskap,2014,46.2
UIO Statsvitenskap,2015,47.5
